membership_id,agreement_id,country_id,member_type,mem_start,mem_end,mem_step,notes
1171,3,99,2,1977-03-29,NULL,9,NULL
1172,3,59,2,1978-09-18,NULL,9,NULL
1173,3,60,2,1976-12-10,NULL,9,NULL
1174,3,61,2,1978-09-06,NULL,9,NULL
1175,3,70,2,1976-09-27,NULL,9,NULL
1176,3,62,2,1976-07-01,NULL,9,NULL
1177,3,31,2,1977-09-25,NULL,9,"Portugal changed its category of membership to that of importing Member as a consequence of the decision adopted by the Council on 07.11.75."
1178,3,132,2,1981-08-28,NULL,2,NULL
1179,3,63,2,1976-12-09,NULL,9,NULL
1180,3,64,2,1976-07-07,NULL,9,NULL
1181,3,65,2,1976-09-27,NULL,9,NULL
1182,3,68,2,1986-09-19,NULL,9,NULL
1183,3,369,2,1976-09-24,NULL,9,NULL
1184,4,51,2,1983-09-30,1990-12-01,2,NULL
1185,4,52,2,1984-03-26,NULL,9,NULL
1186,4,46,2,1984-10-15,NULL,9,NULL
1187,4,54,2,1983-09-16,1991-09-01,9,NULL
1188,4,86,2,1984-01-13,NULL,9,NULL
1189,4,56,2,1983-09-30,NULL,9,NULL
1190,4,236,2,1983-09-23,NULL,2,NULL
1191,4,71,2,1984-05-08,NULL,9,NULL
1192,4,58,2,1984-11-13,NULL,3,NULL
1193,4,40,2,1984-07-12,NULL,9,NULL
1194,4,91,2,1986-09-19,NULL,9,NULL
1195,4,98,2,1983-07-28,NULL,9,NULL
1196,4,59,2,1985-04-09,NULL,9,NULL
1197,4,60,2,1983-06-01,NULL,1,NULL
1198,4,251,2,1984-10-15,NULL,9,NULL
1199,4,61,2,1984-09-05,NULL,1,NULL
1200,4,70,2,1983-09-27,NULL,9,NULL
1201,4,62,2,1983-06-30,NULL,9,NULL
1202,4,31,2,1984-03-30,NULL,9,NULL
1203,4,132,2,1983-08-18,NULL,9,NULL
1204,4,63,2,1984-02-07,NULL,9,NULL
1205,4,64,2,1983-09-15,NULL,9,NULL
1206,4,65,2,1983-12-12,NULL,9,NULL
1207,4,68,2,1983-12-22,NULL,9,NULL
1208,4,369,2,1983-09-15,1993-09-01,9,NULL
1209,5,52,2,1996-08-28,NULL,2,NULL
1210,5,46,2,1994-09-19,NULL,8,NULL
1211,5,86,2,1995-03-22,NULL,9,NULL
1212,5,56,2,1994-09-19,NULL,3,NULL
1213,5,71,2,1995-09-26,NULL,1,NULL
1214,5,58,2,1996-03-29,NULL,3,NULL
1215,5,40,2,1996-05-02,NULL,9,NULL
1216,5,91,2,1996-06-11,NULL,9,NULL
1217,5,98,2,1995-05-19,NULL,9,NULL
1218,5,59,2,1995-09-19,NULL,9,NULL
1219,5,60,2,1995-05-18,NULL,2,NULL
1220,5,251,2,1994-09-19,NULL,8,NULL
1221,5,61,2,1995-09-22,NULL,1,NULL
1222,5,62,2,1994-09-26,NULL,9,NULL
1223,5,31,2,1996-02-08,NULL,9,NULL
1224,5,63,2,1995-08-04,NULL,9,NULL
1225,5,64,2,1994-09-19,NULL,9,NULL
1226,5,65,2,1995-08-23,NULL,9,NULL
1227,5,68,2,1994-09-23,NULL,9,NULL
1228,6,52,2,2002-09-23,NULL,2,NULL
1229,6,46,2,2001-09-25,NULL,8,NULL
1230,6,79,2,2007-03-15,NULL,2,NULL
1231,6,86,2,2002-01-23,NULL,2,NULL
1232,6,56,2,2002-06-05,NULL,9,NULL
1233,6,58,2,2005-04-25,NULL,3,NULL
1234,6,40,2,2002-12-20,NULL,9,NULL
1235,6,91,2,2004-03-04,NULL,2,NULL
1236,6,98,2,2002-06-11,NULL,9,NULL
1237,6,59,2,2005-05-17,NULL,9,NULL
1238,6,60,2,2001-07-11,NULL,1,"On 29 September 2009, the Government of Japan notified the Executive Director of the ICO and the Secretary-General of the UN, that pursuant to the provisions of Article 52 (2) of the Agreement, Japan does not accept the
extension of the ICA 2001, for one year from 1 October 2009."
1239,6,42,2,2006-01-04,NULL,2,"Became a State member of the European Union on  1 May 2004."
1240,6,251,2,2001-09-25,NULL,8,NULL
1241,6,61,2,2007-05-25,NULL,2,NULL
1242,6,62,2,2002-05-21,NULL,2,NULL
1243,6,124,2,2006-09-15,NULL,2,NULL
1244,6,31,2,2003-05-21,NULL,9,NULL
1245,6,128,2,2008-03-24,NULL,2,NULL
1246,6,300,2,2006-06-01,NULL,2,"Became a State member of the European Union on  1 May 2004."
1247,6,63,2,2002-06-07,NULL,9,NULL
1248,6,64,2,2001-11-19,NULL,2,NULL
1249,6,65,2,2002-04-30,NULL,9,NULL
1250,6,68,2,2003-06-02,NULL,9,NULL
1251,6,369,2,2005-02-03,NULL,2,NULL
1252,7,52,2,2008-06-17,NULL,3,NULL
1253,7,46,2,2008-06-17,NULL,3,NULL
1254,7,79,2,2008-06-17,NULL,3,NULL
1255,7,288,2,2013-07-01,NULL,3,"Became a State member of the European Union on 1 January 2007 and as a consequence procedures for membership of the 2007 Agreement completed."
1256,7,86,2,2008-06-17,NULL,3,NULL
1257,7,56,2,2008-06-17,NULL,3,NULL
1258,7,41,2,2008-06-17,NULL,3,"Became a State member of the European Union on  1 May 2004."
1259,7,71,2,2008-06-17,NULL,3,NULL
1260,7,58,2,2008-06-17,NULL,3,NULL
1261,7,40,2,2008-06-17,NULL,3,NULL
1262,7,91,2,2008-06-17,NULL,3,NULL
1263,7,94,2,2008-06-17,NULL,3,"Became a State member of the European Union on  1 May 2004."
1264,7,98,2,2008-06-17,NULL,3,NULL
1265,7,59,2,2008-06-17,NULL,3,NULL
1266,7,60,2,2015-07-23,NULL,2,NULL
1267,7,42,2,2008-06-17,NULL,3,"Became a State member of the European Union on  1 May 2004."
1268,7,44,2,2008-06-17,NULL,3,"Became a State member of the European Union on  1 May 2004."
1269,7,251,2,2008-06-17,NULL,3,NULL
1270,7,112,2,2008-06-17,NULL,3,"Became a State member of the European Union on  1 May 2004."
1271,7,61,2,2008-06-17,NULL,3,NULL
1272,7,62,2,2010-09-21,NULL,9,NULL
1273,7,124,2,2008-06-17,NULL,3,NULL
1274,7,31,2,2008-06-17,NULL,3,NULL
1275,7,128,2,2008-06-17,NULL,3,"Became a State member of the European Union on 1 January 2007 and as a consequence procedures for membership of the 2007 Agreement completed."
1276,7,127,2,2015-04-24,NULL,2,"Became a State member of the European Union on 1 January 2007 and as a consequence procedures for membership of the 2007 Agreement completed."
1277,7,300,2,2008-06-17,NULL,3,"Became a State member of the European Union on  1 May 2004."
1278,7,292,2,2008-06-17,NULL,3,"Became a State member of the European Union on  1 May 2004."
1279,7,63,2,2008-06-17,NULL,3,NULL
1280,7,64,2,2008-06-17,NULL,3,NULL
1281,7,65,2,2009-09-11,NULL,9,NULL
1282,7,66,2,2010-09-21,NULL,9,NULL
1283,7,141,2,2011-03-28,2017-02-12,9,NULL
1284,7,68,2,2008-06-17,NULL,3,NULL
1285,7,369,2,2008-08-28,2018-03-29,1,NULL
1286,3,46,2,1982-09-30,NULL,8,"Joined extentions of ICA 1976 under Resolution No. 318."
1287,3,251,2,1982-09-30,NULL,8,"Joined extentions of ICA 1976 under Resolution No. 318."
